Key,Participant_ID,Start_ms,End_ms,eeg_mean_delta,eeg_mean_theta,eeg_mean_alpha,eeg_mean_beta,eeg_mean_gamma,eeg_std_theta,eeg_std_alpha,eeg_std_beta,eeg_beta_alpha_ratio,eeg_theta_beta_ratio
1spl1,1,1680003253900.0,1680003263120.0,0.2786479596875576,0.1726602474325179,0.4079334615609457,0.2665891080039267,-0.2088748096343259,0.0685508239141419,0.0933905209402766,0.0486271233501492,0.6535112539771342,0.6476642977850948
1spl2,1,1680003260000.0,1680003268000.0,0.7091479733981367,0.4058588385834561,0.5893690529886978,0.322826826401812,-0.0593498263012991,0.2338979045162313,0.2208174144005107,0.0723978023784978,0.5477498772030075,1.2572029502848592
1Item1,1,1680003268000.0,1680003276000.0,0.8540094521015222,0.5280348708958316,0.6837429571389455,0.3660455457916326,-0.1032767045945954,0.28016270406171184,0.1696411774252917,0.0642042723198528,0.5353554899100005,1.4425387140113148
1Item2,1,1680003276000.0,1680003290000.0,0.8384828130325679,0.5155077783465452,0.7106856289691307,0.2972573213615569,-0.1446066925759723,0.1473551755799747,0.1407729992283091,0.0413299598491204,0.4182683724627118,1.7342138992079796
1Item3,1,1680003291000.0,1680003307000.0,0.7943395392626461,0.4468715365613286,0.6332819703717962,0.3080720364050133,-0.158587274197584,0.1588370379203678,0.1510228505078726,0.0600465315722932,0.4864689835147936,1.4505423529379982
1Item4,1,1680003307000.0,1680003325000.0,0.8009833993536285,0.4628676680958394,0.6076218120134594,0.2903008535900418,-0.1460801252945352,0.1341978852990942,0.1555018736029851,0.0613586677530369,0.4777656888716354,1.5944412921000006
1Item5,1,1680003325000.0,1680003351000.0,0.8288668077190224,0.5118008733069045,0.7257128395761809,0.3181428722964191,-0.1144229385945528,0.1391933073953525,0.1160170601294072,0.0568174269681111,0.4383867212301435,1.608713939157659
1Item6,1,1680003351000.0,1680003359000.0,0.8524031057783483,0.5198025403112825,0.7209379524528207,0.324914302318476,-0.1972524484937094,0.1571549377556999,0.1280386565945112,0.071875237019495,0.4506827546157503,1.599814279033429
1Item7,1,1680003359000.0,1680003368000.0,0.7021433084825393,0.5017048374836396,0.6875016412795745,0.3363788602351128,-0.1951868792448163,0.1315727887762892,0.060678180011307,0.0557856325032828,0.4892771741010628,1.491487417291835
1Item8,1,1680003368000.0,1680003385000.0,0.6971346780701938,0.490669790798416,0.708059036568379,0.312500049775877,-0.1839077267455296,0.2342848037833875,0.1730439561800423,0.0577061076014219,0.441347449346052,1.5701430804581349
